Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
0.57302,-0.6837,0.99168,-0.0,1.0,1.1572,1.15599,-0.00849,0.1531,334.80014,301.98575
-0.11315,-3.14129,0.99108,0.0,1.0,1.1526,1.15026,-0.01072,-0.18394,5168.529,3298.04321
0.36873,-1.16143,0.98918,-0.0,1.0,1.1475,1.1462,-0.02369,0.07624,416.42087,405.67868
0.1382,-2.38163,0.99198,0.0,1.0,1.1453,1.14621,-0.01875,0.04306,2890.3035,3058.39917
0.4475,-1.62833,0.98978,-0.0,1.0,1.1456,1.14512,-0.00651,0.12534,853.4984,772.6637
0.58641,-1.0864,0.99028,-0.0,1.0,1.1442,1.14277,-0.00792,-0.0704,707.1043,612.10687
0.75983,0.12497,0.99168,-0.0,1.0,1.1411,1.13887,-0.00716,0.08243,999.04456,981.81055
-0.57771,-4.77759,0.98938,0.0,1.0,1.1362,1.1352,-0.02805,-0.21259,17638.979,13678.48047
0.78649,-0.80421,0.99186,-0.0,1.0,1.1364,1.13708,-0.00472,0.03445,1101.1108,971.02966
0.50542,-1.50595,0.99188,-0.0,1.0,1.1357,1.1343,-0.00381,-0.15617,419.83765,375.52252
0.53324,-1.40408,0.99068,0.0,1.0,1.1321,1.12948,-0.00514,0.21306,573.2188,738.65808
0.43772,-1.65635,0.99047,0.0,1.0,1.1305,1.13228,-0.011,0.04331,1010.6803,1089.50537
0.38266,-1.17168,0.98893,0.0,1.0,1.1327,1.13195,-0.01424,0.00436,528.62573,518.63513
0.79923,-0.22969,0.99174,-0.0,1.0,1.1313,1.12955,-0.00694,-0.19894,998.16,981.29797
0.70611,-0.29085,0.99048,0.0,1.0,1.129,1.12899,-0.0051,0.00571,475.05972,447.68222
0.022,-2.40893,0.98998,0.0,1.0,1.1267,1.12611,-0.01951,-0.33555,3737.664,2333.55273
0.30455,-1.59879,0.9898,0.0,1.0,1.1238,1.12194,-0.0123,0.28992,996.1045,1123.45959
0.39583,-1.81883,0.9908,0.0,1.0,1.1197,1.1179,-0.01709,0.22093,331.30902,421.57632
0.0748,-2.97599,0.98858,-0.0,1.0,1.1151,1.11224,-0.02174,0.02736,4130.9683,3776.19238
0.19672,-2.65605,0.99138,0.0,1.0,1.1113,1.1111,-0.0206,0.13461,1313.5846,1353.82373
0.67687,-0.88966,0.99076,0.0,1.0,1.1089,1.10592,-0.01224,0.00408,914.3918,811.62097
-0.32037,-2.96126,0.98441,-0.0,1.0,1.1062,1.10515,-0.00632,-0.03193,4201.133,3946.85498
0.77999,-1.13087,0.9916,-0.0,1.0,1.1045,1.10298,-0.01452,-0.10166,1599.9442,1525.68823
0.56315,-0.53471,0.98908,-0.0,1.0,1.1023,1.10151,-0.00209,-0.28464,335.37552,366.57489
0.71889,-0.36072,0.98897,0.0,1.0,1.1011,1.10002,-0.0021,0.16772,702.3146,668.38531
0.63225,-1.04355,0.98708,0.0,1.0,1.0987,1.09669,-0.00504,-0.03343,397.94955,437.16827
-0.29389,-3.2622,0.98958,0.0,1.0,1.0938,1.09223,-0.02439,-0.08722,8727.877,7316.12109
0.58447,-2.51759,0.98759,0.0,1.0,1.0911,1.08974,-0.0026,0.26434,535.9528,612.50098
0.51251,-1.40817,0.99136,-0.0,1.0,1.0872,1.08495,-0.00775,-0.07264,323.70538,272.78409
0.29105,-1.90655,0.98582,0.0,1.0,1.0865,1.08816,-0.00803,0.11919,1324.3806,1534.57227
0.62119,-0.53272,0.99018,-0.0,1.0,1.0865,1.08449,-0.00376,-0.13272,605.7687,615.17932
0.7521,-0.18009,0.99208,-0.0,1.0,1.0842,1.08278,-0.00743,0.00072,764.1266,729.09448
-0.04694,-2.18516,0.98998,0.0,1.0,1.0804,1.07842,-0.0213,0.10486,2191.3474,2440.40259
0.00306,-2.66987,0.99071,0.0,1.0,1.0766,1.07522,-0.00558,0.00936,3739.784,3782.43628
0.78973,-0.50221,0.99168,-0.0,1.0,1.0738,1.07212,-0.01062,0.01403,1189.5753,981.66016
0.01439,-2.31555,0.98764,0.0,1.0,1.0719,1.07114,-0.00795,-0.00643,4630.6196,4500.74268
0.58832,-0.4362,0.98682,0.0,1.0,1.072,1.07298,-0.00452,0.31726,580.33527,487.67407
0.72742,-0.32573,0.99048,-0.0,1.0,1.0724,1.07081,-0.00558,0.06995,635.9136,505.91248
0.25138,-1.99098,0.98798,-0.0,1.0,1.0703,1.07019,-0.00528,-0.07995,1365.7465,1033.76245
0.20515,-2.18231,0.98469,-0.0,1.0,1.071,1.07172,-0.0031,0.06346,833.70544,725.61511
-0.6623,-4.56528,0.9858,0.0,1.0,1.0693,1.06815,-0.01006,0.14071,13557.175,15338.41211
0.12021,-1.4086,0.98614,0.0,1.0,1.0649,1.06271,-0.00703,0.09854,541.9482,454.11514
0.06109,-1.76217,0.97836,0.0,1.0,1.0596,1.05667,-0.02375,-0.04613,995.3916,791.89874
-0.34941,-5.61435,0.99061,0.0,1.0,1.0561,1.05646,-0.01731,0.17369,5427.618,8790.56641
0.09353,-2.40392,0.98698,-0.0,1.0,1.0547,1.05421,-0.01332,-0.22237,1639.2483,1698.4436
-0.0728,-4.90508,0.98767,0.0,1.0,1.0541,1.05398,-0.01395,-0.0032,4021.7546,3678.33911
0.47576,-1.23893,0.9899,-0.0,1.0,1.0538,1.05318,-0.0124,-0.11514,1561.6129,1404.1167
0.41198,-1.98158,0.98796,0.0,1.0,1.0548,1.05625,-0.00363,0.13447,1871.8372,2005.79553
-0.22988,-3.85927,0.98321,-0.0,1.0,1.054,1.05305,-0.03044,-0.15299,4097.1606,3460.52417
